Rank,Pos,ID,Name,Team,Opp,Comp,Yards,TD,Int,Att,Yards,TD,Rec,Yards,TD,Fantasy Points
79,RB,9101,"Stewart, Jonathan",CAR,TEN,0,0,0,0,14.15,60,0.26,1.02,5,0.03,7
80,WR,12175,"Cooper, Amari",OAK,MIN,0,0,0,0,0.19,0,0,4.95,69,0.44,7
81,RB,12153,"Yeldon, T.J.",JAC,BAL,0,0,0,0,13.96,56,0.16,2.35,16,0.09,7
82,WR,10737,"Benjamin, Travis",CLE,PIT,0,0,0,0,0.04,0,0,4.66,65,0.36,7
83,WR,12186,"Diggs, Stefon",MIN,OAK,0,0,0,0,0.36,2,0.04,5,65,0.43,7
84,WR,10651,"Aiken, Kamar",BAL,JAC,0,0,0,0,0,0,0,5,68,0.44,7
85,TE,8687,"Olsen, Greg",CAR,TEN,0,0,0,0,0,0,0,4.92,67,0.44,7
86,WR,11951,"Snead, Willie",NOS,WAS,0,0,0,0,0.01,0,0,3.87,59,0.22,6
87,TE,8416,"Walker, Delanie",TEN,CAR,0,0,0,0,0,0,0,5.39,63,0.39,6
88,WR,10725,"Randle, Rueben",NYG,NEP,0,0,0,0,0.01,0,0,4.35,56,0.28,6
89,RB,11454,"Anderson, C.J.",DEN,KCC,0,0,0,0,12.51,47,0.34,2.27,17,0.07,6
90,WR,11675,"Adams, Davante",GBP,DET,0,0,0,0,0.07,0,0,4.34,63,0.22,6
91,WR,11670,"Watkins, Sammy",BUF,NYJ,0,0,0,0,0.08,0,0,3.98,60,0.48,6
92,WR,9250,"Garcon, Pierre",WAS,NOS,0,0,0,0,0.02,0,0,4.93,56,0.33,6
93,RB,11656,"Sims, Charles",TBB,DAL,0,0,0,0,8.6,36,0.05,2.52,27,0.17,6
94,WR,10903,"Matthews, Rishard",MIA,PHI,0,0,0,0,0.15,1,0,4.51,58,0.3,6
95,WR,7393,"Fitzgerald, Larry",ARI,SEA,0,0,0,0,0.05,0,0,4.43,58,0.43,6
96,WR,11213,"Austin, Tavon",STL,CHI,0,0,0,0,3.03,18,0.24,3.62,41,0.44,6
97,WR,9843,"LaFell, Brandon",NEP,NYG,0,0,0,0,0.23,1,0,5.74,63,0.35,6
98,TE,11248,"Reed, Jordan",WAS,NOS,0,0,0,0,0,0,0,5.76,56,0.47,6
99,WR,11227,"Stills, Kenny",MIA,PHI,0,0,0,0,0.06,0,0,3.48,46,0.14,5
100,RB,12160,"Williams, Karlos",BUF,NYJ,0,0,0,0,8.24,44,0.47,1.05,8,0.09,5
101,WR,11076,"Kearse, Jermaine",SEA,ARI,0,0,0,0,0.01,0,0,2.62,45,0.2,5
102,TE,11244,"Kelce, Travis",KCC,DEN,0,0,0,0,0,0,0,3.95,51,0.25,5
